FlightsPerYear,HotelNights,InternationalTrips,DomesticTrips,TravelPackagesPurchased,MuseumVisits,YearsTraveling,LifetimeFlights,LifetimeHotelNights,LifetimeInternationalTrips,LifetimeDomesticTrips,LifetimeTravelPackagesPurchased,LifetimeMuseumVisits,PreferredAirlineStatus,FrequentFlyer,BaggageHandled,TravelAgencyInteractions,TravelRelatedComplaints,AnnualTravelBudget,NewTravelerProgram
53.0,122.0,1.0,12.0,7.0,10.0,3.0,75.0,52.0,3.0,33.0,7.0,17.0,Platinum,AAdvantage,220.0,115.0,7.0,2559.5512680835895,Adventure Start
14.0,61.0,0.0,5.0,5.0,9.0,44.0,856.0,441.0,58.0,255.0,153.0,127.0,Gold,Miles & More,127.0,29.0,3.0,1382.7826130297226,Global Explorer Initiative
81.0,207.0,10.0,42.0,25.0,12.0,8.0,155.0,67.0,55.0,62.0,44.0,38.0,Gold,AAdvantage,45.0,43.0,5.0,1229.4285888373838,Global Explorer Initiative
9.0,17.0,0.0,2.0,3.0,1.0,8.0,188.0,91.0,23.0,55.0,43.0,19.0,Gold,AAdvantage,173.0,147.0,6.0,724.8430012229577,Adventure Start
6.0,34.0,2.0,3.0,6.0,0.0,42.0,599.0,340.0,59.0,184.0,147.0,61.0,Gold,Miles & More,0.0,28.0,2.0,795.7338986471481,Global Explorer Initiative
77.0,202.0,7.0,38.0,24.0,18.0,6.0,270.0,128.0,61.0,90.0,73.0,30.0,Gold,AAdvantage,435.0,22.0,0.0,1983.4138368049712,Adventure Start
40.0,168.0,0.0,16.0,5.0,7.0,23.0,525.0,319.0,25.0,169.0,99.0,77.0,Gold,Miles & More,84.0,54.0,0.0,4284.994811249001,Global Explorer Initiative
94.0,291.0,5.0,46.0,24.0,15.0,5.0,107.0,69.0,12.0,39.0,30.0,12.0,Gold,AAdvantage,174.0,105.0,4.0,2015.4857793249298,Global Explorer Initiative
5.0,31.0,0.0,3.0,1.0,0.0,6.0,55.0,46.0,0.0,25.0,2.0,13.0,Platinum,AAdvantage,27.0,27.0,1.0,317.7538865383459,Adventure Start
7.0,9.0,5.0,8.0,4.0,1.0,1.0,25.0,20.0,9.0,24.0,7.0,16.0,Gold,AAdvantage,169.0,2.0,0.0,205.30925060482838,Global Explorer Initiative
23.0,72.0,5.0,12.0,13.0,6.0,12.0,290.0,145.0,62.0,107.0,71.0,36.0,Platinum,Miles & More,207.0,99.0,3.0,1385.186858259353,Adventure Start
3.0,5.0,0.0,2.0,0.0,1.0,22.0,523.0,268.0,24.0,172.0,64.0,44.0,Gold,AAdvantage,115.0,141.0,9.0,4428.699250437035,Global Explorer Initiative
76.0,274.0,9.0,42.0,28.0,11.0,39.0,757.0,410.0,96.0,264.0,189.0,119.0,Platinum,AAdvantage,418.0,114.0,9.0,9235.026046087978,Adventure Start
31.0,62.0,2.0,14.0,4.0,4.0,20.0,387.0,185.0,37.0,133.0,75.0,75.0,Platinum,AAdvantage,286.0,115.0,8.0,2067.549667982963,Adventure Start
60.0,198.0,9.0,40.0,24.0,15.0,33.0,827.0,457.0,85.0,266.0,189.0,110.0,Gold,AAdvantage,95.0,39.0,1.0,8133.8921078978465,Global Explorer Initiative
40.0,89.0,2.0,13.0,10.0,4.0,2.0,50.0,27.0,2.0,17.0,5.0,18.0,Platinum,Miles & More,200.0,112.0,3.0,1032.0584854959645,Adventure Start
72.0,281.0,10.0,35.0,29.0,11.0,37.0,945.0,497.0,97.0,291.0,195.0,134.0,Platinum,AAdvantage,281.0,33.0,5.0,9931.337881434338,Adventure Start
30.0,92.0,2.0,13.0,10.0,11.0,35.0,740.0,411.0,42.0,237.0,132.0,106.0,Platinum,AAdvantage,36.0,30.0,0.0,1845.371131335761,Adventure Start
26.0,101.0,2.0,12.0,5.0,2.0,3.0,106.0,70.0,12.0,43.0,25.0,19.0,Gold,Miles & More,35.0,79.0,7.0,2589.3552589012165,Global Explorer Initiative
30.0,93.0,4.0,16.0,11.0,13.0,14.0,202.0,121.0,19.0,69.0,57.0,45.0,Gold,Miles & More,251.0,31.0,0.0,2047.7072838381043,Adventure Start
66.0,249.0,7.0,47.0,26.0,18.0,12.0,184.0,83.0,41.0,64.0,51.0,29.0,Platinum,Miles & More,275.0,110.0,5.0,6194.0116554909355,Global Explorer Initiative
43.0,168.0,1.0,13.0,4.0,1.0,3.0,55.0,41.0,7.0,28.0,14.0,16.0,Gold,AAdvantage,29.0,160.0,8.0,588.1455068500279,Global Explorer Initiative
33.0,95.0,5.0,28.0,19.0,15.0,19.0,318.0,137.0,63.0,114.0,78.0,86.0,Gold,AAdvantage,50.0,95.0,6.0,4745.021213951544,Global Explorer Initiative
0.0,18.0,3.0,9.0,4.0,4.0,22.0,208.0,120.0,14.0,86.0,36.0,48.0,Platinum,AAdvantage,69.0,75.0,1.0,4557.160107404688,Adventure Start
37.0,167.0,7.0,30.0,19.0,7.0,31.0,440.0,240.0,44.0,154.0,101.0,45.0,Platinum,Miles & More,433.0,15.0,1.0,4785.206831810765,Adventure Start
55.0,164.0,1.0,15.0,6.0,7.0,4.0,135.0,71.0,24.0,51.0,34.0,24.0,Gold,AAdvantage,138.0,75.0,1.0,1570.3305389510065,Adventure Start
37.0,114.0,2.0,18.0,15.0,12.0,36.0,662.0,365.0,70.0,240.0,151.0,125.0,Gold,AAdvantage,130.0,55.0,0.0,5167.48657206736,Global Explorer Initiative
24.0,51.0,2.0,12.0,4.0,10.0,8.0,117.0,49.0,45.0,52.0,32.0,43.0,Gold,AAdvantage,25.0,91.0,0.0,1102.1439662063103,Global Explorer Initiative
92.0,291.0,8.0,50.0,26.0,20.0,12.0,247.0,133.0,68.0,106.0,86.0,58.0,Platinum,Miles & More,94.0,126.0,5.0,4849.733682768876,Global Explorer Initiative
45.0,164.0,8.0,38.0,22.0,11.0,6.0,79.0,62.0,10.0,51.0,18.0,20.0,Platinum,Miles & More,411.0,15.0,5.0,5486.1687554284135,Adventure Start
2.0,5.0,0.0,0.0,1.0,0.0,43.0,751.0,398.0,50.0,215.0,154.0,110.0,Gold,Miles & More,185.0,145.0,3.0,1282.2426879621974,Global Explorer Initiative
54.0,192.0,5.0,31.0,22.0,15.0,12.0,164.0,77.0,12.0,54.0,24.0,23.0,Gold,AAdvantage,390.0,49.0,6.0,5063.655906094952,Global Explorer Initiative
40.0,95.0,0.0,17.0,8.0,15.0,2.0,20.0,13.0,5.0,10.0,3.0,8.0,Gold,AAdvantage,45.0,142.0,6.0,2848.766723004354,Global Explorer Initiative
26.0,89.0,4.0,21.0,11.0,15.0,35.0,904.0,462.0,92.0,278.0,192.0,140.0,Gold,AAdvantage,265.0,17.0,2.0,9625.520991087024,Global Explorer Initiative
18.0,52.0,5.0,8.0,15.0,2.0,20.0,352.0,187.0,48.0,106.0,81.0,41.0,Platinum,Miles & More,30.0,48.0,5.0,2209.2585405769796,Adventure Start
19.0,37.0,0.0,6.0,6.0,11.0,15.0,178.0,84.0,34.0,51.0,51.0,30.0,Gold,AAdvantage,462.0,44.0,4.0,611.7119424776324,Global Explorer Initiative
51.0,185.0,1.0,27.0,9.0,3.0,28.0,745.0,414.0,64.0,250.0,144.0,72.0,Platinum,AAdvantage,9.0,132.0,6.0,3549.561416275533,Adventure Start
1.0,5.0,0.0,5.0,0.0,5.0,27.0,235.0,93.0,8.0,66.0,28.0,61.0,Gold,AAdvantage,195.0,28.0,0.0,1993.6620234165794,Global Explorer Initiative
51.0,179.0,5.0,16.0,15.0,7.0,47.0,735.0,401.0,50.0,235.0,125.0,101.0,Gold,AAdvantage,99.0,105.0,2.0,2595.7992827744183,Global Explorer Initiative
76.0,263.0,10.0,35.0,27.0,3.0,22.0,397.0,226.0,79.0,142.0,131.0,29.0,Platinum,Miles & More,234.0,114.0,8.0,4111.907766068501,Adventure Start
35.0,85.0,0.0,16.0,2.0,17.0,17.0,208.0,117.0,25.0,96.0,37.0,48.0,Gold,AAdvantage,102.0,51.0,1.0,370.5716156053312,Global Explorer Initiative
12.0,19.0,0.0,2.0,1.0,9.0,11.0,287.0,146.0,14.0,106.0,42.0,85.0,Gold,Miles & More,71.0,115.0,9.0,953.2929738802682,Global Explorer Initiative
16.0,31.0,3.0,3.0,13.0,0.0,25.0,407.0,229.0,63.0,153.0,121.0,32.0,Platinum,Miles & More,225.0,2.0,0.0,3063.3174866099907,Adventure Start
28.0,108.0,5.0,25.0,14.0,3.0,1.0,27.0,15.0,23.0,11.0,18.0,12.0,Gold,Miles & More,76.0,19.0,5.0,2235.707672050772,Global Explorer Initiative
22.0,66.0,6.0,10.0,9.0,8.0,4.0,55.0,49.0,25.0,27.0,23.0,23.0,Gold,Miles & More,217.0,1.0,0.0,2419.3606094332235,Global Explorer Initiative
42.0,131.0,2.0,23.0,8.0,3.0,8.0,73.0,37.0,7.0,26.0,10.0,12.0,Gold,AAdvantage,156.0,41.0,2.0,2901.948241904909,Global Explorer Initiative
35.0,114.0,0.0,8.0,3.0,2.0,24.0,470.0,280.0,15.0,163.0,58.0,62.0,Gold,AAdvantage,81.0,81.0,2.0,1961.777775021076,Global Explorer Initiative
33.0,72.0,2.0,12.0,10.0,2.0,6.0,102.0,51.0,5.0,24.0,11.0,9.0,Gold,AAdvantage,388.0,151.0,8.0,2293.005017398456,Global Explorer Initiative
34.0,89.0,0.0,10.0,5.0,12.0,5.0,183.0,110.0,7.0,71.0,23.0,51.0,Gold,AAdvantage,218.0,96.0,1.0,4003.5835820409957,Global Explorer Initiative
80.0,297.0,3.0,42.0,22.0,12.0,39.0,687.0,375.0,51.0,221.0,127.0,88.0,Platinum,AAdvantage,30.0,193.0,8.0,4090.8008894000855,Adventure Start
84.0,257.0,10.0,47.0,27.0,11.0,7.0,170.0,112.0,30.0,84.0,48.0,20.0,Gold,AAdvantage,447.0,39.0,1.0,9103.36755397418,Global Explorer Initiative
55.0,141.0,3.0,24.0,11.0,7.0,18.0,410.0,228.0,51.0,147.0,95.0,33.0,Platinum,AAdvantage,212.0,41.0,7.0,4823.5013835221835,Adventure Start
8.0,9.0,3.0,10.0,8.0,4.0,22.0,410.0,233.0,28.0,173.0,66.0,87.0,Gold,Miles & More,1.0,75.0,2.0,2608.0804548299884,Global Explorer Initiative
35.0,124.0,0.0,24.0,9.0,16.0,16.0,521.0,262.0,72.0,187.0,138.0,122.0,Platinum,AAdvantage,129.0,53.0,0.0,6353.491691253574,Adventure Start
34.0,143.0,7.0,24.0,16.0,14.0,32.0,439.0,207.0,71.0,169.0,101.0,89.0,Platinum,AAdvantage,50.0,44.0,1.0,3239.290612231978,Global Explorer Initiative
57.0,238.0,6.0,36.0,25.0,14.0,22.0,487.0,253.0,44.0,146.0,114.0,64.0,Gold,Miles & More,390.0,134.0,6.0,7352.044141203154,Global Explorer Initiative
66.0,208.0,7.0,45.0,21.0,10.0,2.0,28.0,22.0,11.0,16.0,12.0,12.0,Platinum,AAdvantage,144.0,115.0,10.0,307.0958764660771,Adventure Start
15.0,60.0,2.0,4.0,11.0,3.0,24.0,390.0,239.0,56.0,156.0,107.0,47.0,Gold,Miles & More,173.0,15.0,0.0,4282.214881170276,Global Explorer Initiative
50.0,141.0,1.0,24.0,7.0,4.0,15.0,315.0,149.0,43.0,111.0,72.0,40.0,Gold,Miles & More,162.0,134.0,9.0,3285.0475476787424,Global Explorer Initiative
70.0,198.0,6.0,36.0,18.0,19.0,38.0,730.0,371.0,54.0,225.0,119.0,86.0,Gold,AAdvantage,80.0,64.0,5.0,4773.505910730025,Global Explorer Initiative
54.0,194.0,7.0,31.0,25.0,19.0,49.0,856.0,459.0,86.0,268.0,184.0,140.0,Gold,AAdvantage,200.0,8.0,2.0,5280.921704100769,Global Explorer Initiative
8.0,43.0,2.0,11.0,3.0,7.0,13.0,179.0,89.0,17.0,78.0,25.0,58.0,Gold,AAdvantage,207.0,8.0,1.0,2826.2385800567104,Global Explorer Initiative
28.0,78.0,3.0,10.0,16.0,5.0,10.0,267.0,153.0,17.0,76.0,44.0,18.0,Gold,Miles & More,141.0,106.0,8.0,305.21803324588876,Global Explorer Initiative
17.0,44.0,2.0,5.0,11.0,8.0,5.0,77.0,51.0,25.0,24.0,40.0,10.0,Platinum,Miles & More,57.0,147.0,8.0,369.1458200877053,Adventure Start
28.0,93.0,1.0,12.0,7.0,11.0,3.0,136.0,79.0,12.0,38.0,26.0,21.0,Gold,AAdvantage,475.0,40.0,0.0,4938.190252790026,Global Explorer Initiative
10.0,14.0,1.0,1.0,2.0,5.0,49.0,905.0,464.0,64.0,272.0,159.0,147.0,Platinum,AAdvantage,82.0,158.0,10.0,4619.950201781121,Adventure Start
75.0,235.0,3.0,22.0,19.0,3.0,35.0,919.0,489.0,87.0,290.0,192.0,129.0,Platinum,Miles & More,55.0,64.0,2.0,2323.935923161459,Adventure Start
74.0,204.0,7.0,37.0,22.0,9.0,26.0,446.0,212.0,31.0,138.0,77.0,44.0,Gold,Miles & More,70.0,186.0,8.0,467.6201725288595,Global Explorer Initiative
52.0,163.0,9.0,17.0,26.0,14.0,48.0,835.0,444.0,91.0,257.0,186.0,125.0,Gold,Miles & More,47.0,57.0,1.0,1744.1588929238344,Global Explorer Initiative
15.0,64.0,2.0,5.0,12.0,2.0,40.0,815.0,452.0,90.0,249.0,194.0,87.0,Gold,AAdvantage,201.0,3.0,0.0,6634.310680793053,Global Explorer Initiative
37.0,147.0,3.0,23.0,17.0,5.0,9.0,164.0,118.0,7.0,65.0,20.0,25.0,Gold,Miles & More,440.0,15.0,4.0,1057.8442459243647,Global Explorer Initiative
77.0,287.0,10.0,48.0,26.0,12.0,3.0,142.0,86.0,40.0,58.0,59.0,12.0,Gold,Miles & More,284.0,28.0,7.0,6463.875380001856,Global Explorer Initiative
89.0,263.0,5.0,34.0,20.0,10.0,14.0,204.0,120.0,19.0,82.0,35.0,24.0,Gold,Miles & More,241.0,183.0,6.0,648.7572974077201,Global Explorer Initiative
48.0,180.0,5.0,31.0,23.0,8.0,27.0,556.0,313.0,78.0,220.0,133.0,85.0,Platinum,AAdvantage,335.0,56.0,2.0,9832.430431067294,Global Explorer Initiative
26.0,90.0,4.0,15.0,14.0,7.0,9.0,266.0,150.0,26.0,129.0,47.0,79.0,Platinum,AAdvantage,44.0,32.0,3.0,2166.8924703018693,Adventure Start
65.0,206.0,8.0,31.0,28.0,9.0,4.0,162.0,74.0,35.0,62.0,37.0,25.0,Platinum,Miles & More,98.0,62.0,7.0,328.0431084262467,Global Explorer Initiative
2.0,2.0,3.0,0.0,10.0,0.0,47.0,641.0,311.0,92.0,169.0,172.0,93.0,Gold,Miles & More,163.0,21.0,0.0,361.8445694615354,Global Explorer Initiative
27.0,81.0,1.0,15.0,7.0,5.0,2.0,18.0,13.0,6.0,10.0,5.0,4.0,Gold,AAdvantage,318.0,20.0,5.0,920.5015021324781,Global Explorer Initiative
17.0,33.0,2.0,3.0,2.0,3.0,15.0,274.0,128.0,58.0,116.0,63.0,44.0,Platinum,Miles & More,43.0,137.0,5.0,1437.6790234640164,Adventure Start
33.0,113.0,7.0,15.0,18.0,4.0,5.0,75.0,47.0,20.0,33.0,23.0,27.0,Platinum,Miles & More,73.0,116.0,2.0,1729.3808228988232,Global Explorer Initiative
4.0,5.0,0.0,4.0,1.0,7.0,4.0,55.0,28.0,20.0,18.0,20.0,30.0,Platinum,AAdvantage,406.0,75.0,2.0,928.4660064425838,Adventure Start
70.0,198.0,3.0,23.0,19.0,14.0,30.0,821.0,451.0,82.0,266.0,179.0,103.0,Platinum,AAdvantage,220.0,128.0,2.0,6942.027617275387,Adventure Start
41.0,118.0,4.0,30.0,11.0,19.0,17.0,392.0,216.0,58.0,178.0,77.0,96.0,Platinum,Miles & More,130.0,13.0,0.0,6701.40477412338,Adventure Start
88.0,216.0,2.0,24.0,20.0,11.0,14.0,198.0,82.0,11.0,55.0,30.0,38.0,Gold,Miles & More,33.0,200.0,9.0,1605.8577000292341,Global Explorer Initiative
31.0,61.0,3.0,12.0,6.0,6.0,7.0,38.0,25.0,3.0,15.0,2.0,4.0,Gold,Miles & More,402.0,81.0,9.0,1566.6889806346837,Global Explorer Initiative
6.0,16.0,5.0,8.0,4.0,2.0,16.0,292.0,134.0,38.0,108.0,54.0,65.0,Platinum,Miles & More,156.0,71.0,1.0,288.9096960340646,Global Explorer Initiative
80.0,246.0,2.0,42.0,20.0,14.0,34.0,898.0,466.0,88.0,285.0,187.0,132.0,Platinum,AAdvantage,40.0,189.0,10.0,8432.942749153255,Adventure Start
32.0,66.0,7.0,11.0,17.0,11.0,7.0,48.0,26.0,12.0,18.0,11.0,20.0,Gold,Miles & More,168.0,10.0,1.0,1038.2570842110713,Global Explorer Initiative
7.0,11.0,5.0,2.0,15.0,0.0,24.0,357.0,185.0,36.0,101.0,77.0,22.0,Platinum,AAdvantage,26.0,28.0,0.0,2958.8577289488367,Adventure Start
38.0,162.0,2.0,26.0,8.0,3.0,25.0,413.0,209.0,57.0,154.0,79.0,36.0,Gold,AAdvantage,0.0,152.0,7.0,1716.690386346231,Global Explorer Initiative
60.0,224.0,1.0,19.0,21.0,2.0,6.0,66.0,57.0,10.0,33.0,21.0,12.0,Platinum,Miles & More,246.0,167.0,5.0,1216.015536355762,Adventure Start
16.0,74.0,4.0,14.0,6.0,8.0,5.0,71.0,50.0,25.0,31.0,35.0,18.0,Platinum,AAdvantage,316.0,31.0,1.0,5452.048838029809,Adventure Start
98.0,299.0,2.0,37.0,20.0,9.0,4.0,202.0,118.0,13.0,58.0,34.0,18.0,Platinum,Miles & More,304.0,114.0,4.0,3631.4127637937113,Adventure Start
4.0,4.0,2.0,6.0,1.0,1.0,9.0,118.0,62.0,18.0,43.0,19.0,13.0,Platinum,AAdvantage,172.0,1.0,0.0,2319.741757045024,Adventure Start
25.0,68.0,0.0,15.0,4.0,14.0,12.0,162.0,86.0,28.0,82.0,39.0,51.0,Platinum,AAdvantage,110.0,82.0,7.0,3150.1435313261604,Adventure Start
17.0,46.0,4.0,8.0,14.0,2.0,6.0,31.0,23.0,7.0,13.0,9.0,4.0,Platinum,AAdvantage,59.0,91.0,3.0,3625.8976103873792,Adventure Start
43.0,190.0,6.0,16.0,24.0,5.0,38.0,859.0,458.0,78.0,255.0,174.0,117.0,Gold,Miles & More,397.0,100.0,4.0,5211.165897440583,Global Explorer Initiative
5.0,12.0,0.0,1.0,1.0,8.0,29.0,638.0,336.0,61.0,211.0,147.0,115.0,Gold,Miles & More,50.0,47.0,0.0,5774.409319551484,Global Explorer Initiative
15.0,45.0,5.0,12.0,8.0,5.0,24.0,417.0,222.0,53.0,150.0,85.0,51.0,Gold,Miles & More,5.0,7.0,0.0,735.9371926027628,Global Explorer Initiative
55.0,233.0,1.0,27.0,12.0,7.0,22.0,322.0,170.0,7.0,103.0,36.0,56.0,Platinum,Miles & More,403.0,127.0,7.0,1671.7915863511444,Adventure Start
82.0,273.0,10.0,35.0,30.0,6.0,5.0,156.0,91.0,67.0,54.0,81.0,12.0,Platinum,AAdvantage,494.0,5.0,2.0,4260.473347383948,Adventure Start
9.0,36.0,0.0,5.0,2.0,2.0,5.0,31.0,14.0,11.0,8.0,11.0,8.0,Platinum,AAdvantage,4.0,22.0,1.0,1579.5802988264816,Adventure Start
99.0,299.0,3.0,48.0,20.0,14.0,10.0,175.0,93.0,7.0,73.0,20.0,35.0,Platinum,AAdvantage,436.0,181.0,9.0,3009.5195674278066,Adventure Start
8.0,43.0,2.0,6.0,5.0,5.0,15.0,187.0,115.0,42.0,90.0,49.0,31.0,Gold,Miles & More,248.0,24.0,0.0,6357.85078255765,Global Explorer Initiative
52.0,142.0,8.0,29.0,19.0,12.0,8.0,191.0,86.0,65.0,104.0,65.0,44.0,Gold,AAdvantage,173.0,73.0,0.0,2940.8116079574,Global Explorer Initiative
85.0,254.0,2.0,37.0,10.0,5.0,12.0,427.0,243.0,20.0,144.0,63.0,25.0,Platinum,AAdvantage,147.0,108.0,4.0,1911.5588185209722,Adventure Start
21.0,46.0,3.0,8.0,15.0,3.0,15.0,410.0,221.0,38.0,156.0,72.0,78.0,Platinum,Miles & More,124.0,160.0,7.0,3716.8447454230336,Adventure Start
65.0,178.0,5.0,37.0,16.0,18.0,6.0,95.0,56.0,29.0,55.0,26.0,21.0,Platinum,AAdvantage,93.0,69.0,4.0,4274.969389099941,Adventure Start
14.0,68.0,6.0,10.0,15.0,1.0,26.0,452.0,260.0,40.0,153.0,89.0,30.0,Gold,Miles & More,8.0,19.0,1.0,3529.816760846421,Global Explorer Initiative
30.0,74.0,6.0,15.0,11.0,4.0,10.0,150.0,65.0,24.0,59.0,33.0,39.0,Gold,Miles & More,266.0,8.0,3.0,2559.308082638457,Global Explorer Initiative
27.0,59.0,6.0,22.0,8.0,7.0,2.0,43.0,24.0,32.0,27.0,16.0,18.0,Gold,Miles & More,83.0,48.0,1.0,2811.6640615706756,Global Explorer Initiative
3.0,4.0,2.0,0.0,4.0,0.0,20.0,310.0,121.0,41.0,55.0,74.0,35.0,Gold,AAdvantage,144.0,14.0,0.0,132.82883294956477,Adventure Start
96.0,291.0,3.0,41.0,22.0,15.0,17.0,409.0,216.0,34.0,137.0,83.0,64.0,Platinum,AAdvantage,105.0,166.0,10.0,5636.28837907167,Adventure Start
37.0,148.0,0.0,11.0,6.0,3.0,8.0,50.0,40.0,1.0,10.0,6.0,3.0,Gold,AAdvantage,205.0,111.0,4.0,1436.050818111128,Global Explorer Initiative
16.0,40.0,0.0,10.0,0.0,6.0,17.0,454.0,260.0,39.0,190.0,78.0,69.0,Platinum,Miles & More,258.0,30.0,1.0,4730.4261947038085,Adventure Start
67.0,197.0,7.0,27.0,26.0,19.0,41.0,832.0,431.0,84.0,261.0,186.0,145.0,Gold,Miles & More,308.0,153.0,4.0,2481.3611040353194,Global Explorer Initiative
40.0,132.0,7.0,13.0,24.0,10.0,11.0,239.0,129.0,43.0,61.0,76.0,30.0,Platinum,AAdvantage,481.0,11.0,2.0,5727.483245206233,Adventure Start
50.0,182.0,6.0,35.0,18.0,15.0,7.0,259.0,133.0,22.0,110.0,35.0,43.0,Platinum,AAdvantage,459.0,13.0,2.0,2518.6592305740664,Adventure Start
46.0,196.0,6.0,31.0,16.0,11.0,11.0,135.0,66.0,48.0,53.0,51.0,24.0,Platinum,Miles & More,44.0,6.0,0.0,2155.2654396910707,Global Explorer Initiative
19.0,88.0,2.0,11.0,11.0,8.0,13.0,381.0,199.0,64.0,147.0,112.0,84.0,Platinum,AAdvantage,49.0,11.0,1.0,7204.072145854115,Adventure Start
21.0,50.0,2.0,14.0,10.0,9.0,19.0,355.0,174.0,48.0,117.0,78.0,64.0,Platinum,AAdvantage,164.0,72.0,1.0,1211.1016106659665,Adventure Start
8.0,33.0,6.0,3.0,13.0,4.0,41.0,627.0,346.0,50.0,208.0,106.0,107.0,Platinum,Miles & More,425.0,6.0,2.0,3142.2815815313193,Adventure Start
72.0,230.0,10.0,48.0,27.0,12.0,33.0,725.0,352.0,70.0,215.0,154.0,86.0,Platinum,AAdvantage,424.0,26.0,0.0,3457.645906212113,Adventure Start
69.0,191.0,9.0,39.0,29.0,16.0,48.0,960.0,496.0,84.0,296.0,191.0,144.0,Gold,Miles & More,183.0,12.0,1.0,8569.14204192537,Global Explorer Initiative
49.0,146.0,7.0,25.0,21.0,17.0,14.0,467.0,243.0,84.0,201.0,138.0,132.0,Platinum,Miles & More,488.0,29.0,1.0,7021.201344768813,Adventure Start
32.0,63.0,2.0,8.0,6.0,1.0,19.0,238.0,103.0,26.0,53.0,43.0,17.0,Platinum,Miles & More,116.0,187.0,9.0,281.378575638679,Adventure Start
11.0,36.0,1.0,8.0,0.0,5.0,7.0,154.0,78.0,10.0,60.0,19.0,43.0,Gold,AAdvantage,264.0,93.0,3.0,2073.9878850542773,Adventure Start
14.0,20.0,2.0,9.0,2.0,2.0,5.0,83.0,48.0,23.0,28.0,34.0,13.0,Platinum,Miles & More,211.0,26.0,4.0,1063.9938334777512,Adventure Start
10.0,32.0,0.0,6.0,2.0,11.0,23.0,365.0,169.0,50.0,122.0,76.0,92.0,Gold,Miles & More,103.0,140.0,1.0,1255.9923442654162,Global Explorer Initiative
59.0,204.0,7.0,27.0,19.0,7.0,39.0,896.0,469.0,92.0,286.0,188.0,126.0,Platinum,Miles & More,84.0,81.0,8.0,6116.547036754611,Adventure Start
39.0,105.0,6.0,20.0,21.0,11.0,42.0,831.0,421.0,63.0,266.0,157.0,140.0,Platinum,AAdvantage,136.0,162.0,4.0,8754.902013861387,Adventure Start
18.0,58.0,4.0,13.0,12.0,5.0,22.0,553.0,298.0,53.0,202.0,106.0,121.0,Gold,AAdvantage,336.0,94.0,2.0,4780.903789894381,Global Explorer Initiative
42.0,102.0,7.0,24.0,20.0,15.0,19.0,507.0,275.0,62.0,197.0,102.0,77.0,Platinum,AAdvantage,126.0,106.0,3.0,2700.5686555859656,Adventure Start
34.0,135.0,7.0,32.0,18.0,12.0,12.0,212.0,102.0,25.0,84.0,43.0,36.0,Platinum,Miles & More,118.0,114.0,1.0,1313.6270959646147,Adventure Start
20.0,72.0,5.0,8.0,9.0,9.0,39.0,605.0,298.0,85.0,204.0,146.0,121.0,Platinum,Miles & More,374.0,2.0,0.0,7722.807589102409,Adventure Start
81.0,235.0,9.0,32.0,30.0,10.0,39.0,875.0,433.0,76.0,234.0,168.0,66.0,Platinum,Miles & More,55.0,103.0,4.0,3543.300291232748,Adventure Start
2.0,6.0,0.0,5.0,0.0,3.0,34.0,387.0,192.0,42.0,161.0,72.0,86.0,Platinum,AAdvantage,16.0,23.0,0.0,398.53653938637603,Adventure Start
78.0,205.0,3.0,26.0,17.0,4.0,33.0,652.0,359.0,66.0,216.0,126.0,59.0,Gold,Miles & More,209.0,49.0,1.0,1568.2555396104663,Global Explorer Initiative
54.0,112.0,7.0,14.0,23.0,9.0,33.0,652.0,346.0,80.0,224.0,152.0,118.0,Platinum,Miles & More,354.0,59.0,7.0,3022.9312953927633,Adventure Start
16.0,37.0,5.0,5.0,17.0,0.0,38.0,625.0,327.0,53.0,194.0,132.0,93.0,Platinum,Miles & More,235.0,81.0,8.0,387.8367767580995,Global Explorer Initiative
0.0,1.0,0.0,0.0,0.0,1.0,28.0,333.0,168.0,22.0,80.0,47.0,25.0,Gold,Miles & More,131.0,22.0,2.0,240.7143660003029,Adventure Start
4.0,28.0,0.0,3.0,3.0,6.0,22.0,535.0,321.0,30.0,189.0,100.0,112.0,Platinum,Miles & More,180.0,7.0,0.0,2745.2110210101864,Adventure Start
47.0,145.0,8.0,25.0,22.0,3.0,6.0,57.0,41.0,12.0,24.0,13.0,4.0,Gold,Miles & More,279.0,128.0,10.0,3672.0473794521326,Global Explorer Initiative
17.0,66.0,3.0,6.0,5.0,4.0,47.0,581.0,323.0,39.0,188.0,94.0,95.0,Platinum,AAdvantage,376.0,82.0,3.0,1604.713796958321,Adventure Start
9.0,20.0,0.0,7.0,0.0,10.0,29.0,534.0,266.0,28.0,170.0,80.0,73.0,Platinum,Miles & More,178.0,127.0,5.0,2561.4665876357385,Adventure Start
51.0,117.0,1.0,13.0,4.0,11.0,6.0,48.0,23.0,3.0,13.0,5.0,23.0,Gold,Miles & More,471.0,172.0,4.0,371.10085464877795,Adventure Start
16.0,48.0,0.0,3.0,4.0,2.0,7.0,26.0,23.0,1.0,5.0,3.0,0.0,Gold,Miles & More,27.0,71.0,3.0,1471.751148479145,Global Explorer Initiative
17.0,79.0,4.0,12.0,8.0,11.0,43.0,646.0,372.0,45.0,222.0,112.0,95.0,Gold,Miles & More,174.0,75.0,2.0,4431.897888266028,Global Explorer Initiative
67.0,253.0,5.0,44.0,25.0,20.0,10.0,162.0,94.0,47.0,105.0,57.0,58.0,Gold,AAdvantage,479.0,42.0,0.0,5600.146801170298,Global Explorer Initiative
